,Job Title,Min Salary,Max Salary,Average Salary,Rating,State
0,data scientist,111,181,146.0,3.5,NY
1,data scientist,111,181,146.0,4.5,NY
3,analyst,111,181,146.0,3.4,NJ
4,data scientist,111,181,146.0,3.4,NY
5,data scientist,111,181,146.0,2.9,NY
6,researcher,111,181,146.0,4.4,NY
8,other,111,181,146.0,5.0,NY
9,researcher,111,181,146.0,4.8,NY
10,data scientist,111,181,146.0,3.9,NY
11,data scientist,111,181,146.0,4.4,NY
12,data scientist,111,181,146.0,4.3,NY
13,data scientist,111,181,146.0,3.9,NY
14,data scientist,111,181,146.0,4.4,NY
15,data scientist,111,181,146.0,3.0,NY
16,data scientist,111,181,146.0,3.6,NY
17,data scientist,111,181,146.0,3.3,NY
18,data scientist,111,181,146.0,3.6,NY
19,data scientist,111,181,146.0,3.9,NY
20,data scientist,111,181,146.0,4.0,NY
21,data scientist,111,181,146.0,3.4,NY
22,researcher,111,181,146.0,4.1,NY
23,data engineer,111,181,146.0,3.4,NY
24,data scientist,111,181,146.0,4.4,NY
25,data scientist,111,181,146.0,3.8,NY
26,data scientist,111,181,146.0,4.1,NY
27,data scientist,111,181,146.0,3.3,NY
28,data scientist,111,181,146.0,5.0,NY
29,data scientist,111,181,146.0,3.3,NY
30,data scientist,120,140,130.0,4.3,NY
31,data scientist,120,140,130.0,3.7,NY
32,data scientist,120,140,130.0,4.3,NY
33,data scientist,120,140,130.0,3.0,NY
34,data scientist,120,140,130.0,3.7,NY
35,analyst,120,140,130.0,3.4,NY
37,data scientist,120,140,130.0,4.2,NY
39,data scientist,120,140,130.0,4.6,NY
41,analyst,120,140,130.0,4.1,NY
42,other,120,140,130.0,4.3,NY
43,data scientist,120,140,130.0,4.5,NY
45,data scientist,120,140,130.0,3.9,NY
46,data scientist,120,140,130.0,3.4,NY
48,analyst,120,140,130.0,3.6,NY
49,data scientist,120,140,130.0,3.5,NY
50,analyst,120,140,130.0,3.9,NY
51,data scientist,120,140,130.0,3.9,NY
52,data scientist,120,140,130.0,3.2,NY
54,data scientist,120,140,130.0,3.3,NY
56,data scientist,120,140,130.0,4.2,NY
57,data scientist,120,140,130.0,3.6,NY
58,data scientist,120,140,130.0,3.9,NY
59,data scientist,120,140,130.0,3.9,NY
60,data scientist,119,147,133.0,3.8,NY
62,data scientist,119,147,133.0,5.0,NY
64,data scientist,119,147,133.0,3.4,NY
65,data scientist,119,147,133.0,3.9,NJ
66,data scientist,119,147,133.0,4.4,NY
67,data scientist,119,147,133.0,3.0,NY
68,manager,119,147,133.0,4.0,NY
69,data scientist,119,147,133.0,3.9,NY
70,data scientist,119,147,133.0,3.6,NY
71,data scientist,119,147,133.0,3.9,NY
72,data scientist,119,147,133.0,2.8,NY
74,data engineer,74,124,99.0,4.4,NY
75,data scientist,74,124,99.0,3.3,NJ
77,data scientist,74,124,99.0,4.0,NY
78,data scientist,74,124,99.0,4.4,NY
79,data scientist,74,124,99.0,3.8,NY
80,data scientist,74,124,99.0,3.8,NY
81,data scientist,74,124,99.0,2.7,NY
83,data scientist,74,124,99.0,4.3,NY
84,data scientist,74,124,99.0,4.5,NY
86,data scientist,74,124,99.0,3.9,NY
87,data scientist,74,124,99.0,3.3,NY
90,other,74,124,99.0,3.8,NY
91,data scientist,74,124,99.0,3.6,NY
92,data scientist,74,124,99.0,3.3,NY
93,analyst,74,124,99.0,4.1,NY
94,data scientist,74,124,99.0,2.8,NY
96,data scientist,74,124,99.0,3.4,NY
97,data scientist,74,124,99.0,3.4,NY
98,data scientist,74,124,99.0,2.9,NY
99,machine learning engineer,74,124,99.0,4.8,NY
100,data scientist,74,124,99.0,3.9,NY
101,data scientist,74,124,99.0,3.8,NY
102,data scientist,74,124,99.0,5.0,NY
104,data engineer,102,121,111.5,4.7,NY
107,data scientist,102,121,111.5,4.2,NY
108,analyst,102,121,111.5,4.0,NY
109,data scientist,102,121,111.5,4.9,NY
110,data scientist,102,121,111.5,4.0,NY
111,data scientist,102,121,111.5,3.4,NY
112,data scientist,102,121,111.5,2.7,NY
113,data scientist,102,121,111.5,3.5,NY
114,data scientist,102,121,111.5,3.4,NY
115,data scientist,102,121,111.5,3.3,NY
116,data scientist,102,121,111.5,2.5,NY
118,other,102,121,111.5,4.4,NY
119,data scientist,102,121,111.5,4.4,NY
120,data scientist,102,121,111.5,4.1,NY
121,data scientist,102,121,111.5,4.8,NY
122,data scientist,102,121,111.5,3.6,NY
123,data scientist,102,121,111.5,3.8,NY
125,data scientist,102,121,111.5,3.9,NY
126,data scientist,102,121,111.5,4.5,NY
127,analyst,102,121,111.5,4.4,NY
132,data scientist,102,121,111.5,3.6,NY
133,data scientist,102,121,111.5,3.7,NJ
135,data engineer,129,210,169.5,4.7,NY
136,data scientist,129,210,169.5,3.8,NY
137,data scientist,129,210,169.5,4.9,NY
138,data scientist,129,210,169.5,4.2,NY
139,data scientist,129,210,169.5,3.4,NJ
140,data scientist,129,210,169.5,3.9,NY
141,data scientist,129,210,169.5,4.4,NY
143,other,129,210,169.5,3.9,NY
145,data scientist,129,210,169.5,4.8,NJ
148,data scientist,129,210,169.5,5.0,NY
149,data scientist,129,210,169.5,3.9,NY
150,data scientist,129,210,169.5,3.8,NY
153,data scientist,129,210,169.5,2.8,NY
154,data scientist,129,210,169.5,4.0,NY
156,data scientist,129,210,169.5,3.6,NY
158,data scientist,129,210,169.5,3.7,NY
160,data scientist,129,210,169.5,3.9,NY
161,data scientist,129,210,169.5,4.2,NY
163,data scientist,129,210,169.5,3.5,NY
164,analyst,156,254,205.0,3.8,NY
